id	signatuur	aantal_teksten	datering
TDRA000000004820	DARMSTADT, HLHB : 5	1	1445/1500
TDRA000000015939	Olim DE LANGE VAN WIJNGAARDEN (Gouda) : Cat. 1845, 8° nr. 32	1	1400/1450
TDRA000000010841	TOLEDO, MA : 19	1	14??
TDRA000000006945	BERLIJN, KK : 78 B 3	7	1500
TDRA000000008968	RETZ, SA : 23	1	1460
TDRA000000014372	NEW YORK, PL : 118	1	1500
TDRA000000006010	LONDEN, VAM : Reid 34	7	
TDRA000000012071	MULARD (Parijs) : z.s.	1	1435
TDRA000000004613	KOPENHAGEN, KB : Thott 127 Oct.	1	
TDRA000000008029	SPRINGFIELD, CL : 91 H 78	6	14??
TDRA000000010666	WENEN, ONB : Series Nova 13238	1	1500
TDRA000000000475	UTRECHT, MCC : BMH 55	23	1440/1475
TDRA000000006004	STOCKHOLM, KB : A 230	1	1490/1510
TDRA000000006762	BERLIJN, SBB-PK : Germ. Oct. 819	7	1460/1470
TDRA000000014366	NEW YORK, PL : 70	1	1470
TDRA000000003632	BRUSSEL, KB : 1683-87	19	1500/1504
TDRA000000015050	Olim HEUSSNER (Brussel) : Cat. 1854-12-14, nr. 184	1	15??
TDRA000000005243	UTRECHT, MCC : Warmond 92 A 5	1	1450/1500
TDRA000000014428	Olim SOTHEBY'S (Londen) : Cat. 1928-05-21, nr.28	1	1400/1425
TDRA000000008001	Olim DE KERCKHOVE (Gent) : z.s.	23	1450
TDRA000000006819	OXFORD, BL : Douce 223	1	1480
TDRA000000004968	Olim UTRECHT, ABM : 34 (verloren)	1	14??
TDRA000000004954	UTRECHT, MCC : ABM 18	7	1455
TDRA000000005492	CUIJK, SA : 27	7	1458/1500
TDRA000000004798	DARMSTADT, HLHB : 1831	1	
TDRA000000007291	TRIER, SB : 1983/12 Oct.	14	1512
TDRA000000004015	BRUSSEL, KB : II 294	14	14??
TDRA000000010060	BOSTON, UL : General Manuscript Collection Leaf 88	1	14??
TDRA000000009531	AMSTERDAM, BPH : ICN 79	1	1480/1490
TDRA000000008149	EDINBURGH, UL : 65	29	1530/1540
TDRA000000004773	DARMSTADT, HLHB : 1937	1	
TDRA000000004767	DARMSTADT, HLHB : 233	1	
TDRA000000012105	SPRINGFIELD, CL : 91 I 29	1	14??
TDRA000000006170	ROBINSON (Londen) : z.s.	1	
TDRA000000010074	NEW HAVEN, YUBL : 310	1	1450/1500
TDRA000000006616	WENEN, ONB : 1858	1	1500/1525
TDRA000000004001	BRUSSEL, KB : II 116	16	1425/1475
TDRA000000015124	WALLER ('s-Gravenhage) : z.s.	1	1475/1500
TDRA000000013233	EMDEN, GK : Qu. 76	59	1480
TDRA000000006158	KEULEN, WRM : Inv. mv 1961/31	1	1475
TDRA000000007246	ANTWERPEN, MPM : M. 371	2	1588/1592
TDRA000000007252	BRUSSEL, KB : II 4916	1	14??
TDRA000000003034	BERLIJN, SBB-PK : Germ. Oct. 332	6	1350/1390
TDRA000000005874	VENETIE, BM : It. I 35	7	1500/1525
TDRA000000013970	BRUSSEL, KB : 14686-87	1	14??
TDRA000000009928	WELSHPOOL, PC : z.s.	1	1425/1475
