titel	datering	pagina	incipit	titel_norm	taal
TEXT000000024548	Getijdenboek; Lat.	1450/1500				latijn	TDRA000000010170
TEXT000000027041	Gebeden en oefeningen; Mnl. Pater noster, Ave Maria, Credo, Tien geboden; Zeven doodzonden etc.		 f.054v-056r				TDRA000000004299
TEXT000000038161	Getijdenboek					onb	TDRA000000015790
TEXT000000038607	Getijden van de eeuwige wijsheid		 f.060r-081v				TDRA000000000552
TEXT000000028414	Getijden- en gebedenboek; Mnl.	1500/1525				nederlands	TDRA000000011383
TEXT000000025124	Getijden van de H. Geest		 f.056r-84v				TDRA000000002047
TEXT000000027733	Gebed tegen een plotselinge dood		 f.242v-244v				TDRA000000005658
TEXT000000019805	Gebed tegen de pest, met inleiding		 f.217r	"Die keyser van Roemen synde aen onsen heijlighen vader den paus om raet teghen die sieckte der pestelencien ..."			TDRA000000003392
TEXT000000039243	Gebed tot Christus		 f.072v-074v				TDRA000000006023
TEXT000000036170	Getijdenboek; Lat.	1500				latijn	TDRA000000015166
TEXT000000001904	Getijdenboek, met kalender voor het bisdom Utrecht; Mnl.	14??				nederlands	TDRA000000002827
TEXT000000024574	Getijden van de Eeuwige Wijsheid		 f.118r-136r	"Myne ziele hevet dy begheert ... Here du salt updoen mine lippen ..."			TDRA000000008024
TEXT000000030267	Getijdenboek	1500/1515				onb	TDRA000000012520
TEXT000000030273	Getijdenboek; Lat.	1525/1550				latijn	TDRA000000012524
TEXT000000032302	Gebed tot S. Anna		 f.223v-224r	"Gegruet systu heilige vrouwe s. Anna du bist vol gracien ende werdich alles loves  ..."			TDRA000000005388
TEXT000000029044	Drie korte gebeden als men ter kerke gaat		 f.143v-144r	"Weest gegruet stad Gades di ende mi moet gebenedien die heilige drievoldicheit ..."			TDRA000000003813
TEXT000000027082	Zeven gebeden voor de zeven getijden		 f.160r-161r	"O Alder goedertierenste heere Jhesu Christe ic bidde dij dat gij mij in myn hertte verlichten wilt ..."			TDRA000000004299
TEXT000000020935	Gebed tot S. Anna		 f.193v-?				TDRA000000003971
TEXT000000005545	Getijdenboek, met kalender; Lat.	1475/1525				latijn	TDRA000000006787
TEXT000000014448	Gebed op naam van Beda Venerabilis		 f.038r-039r	"Ic bidde dy alder goedertierenste heere ..."	Ongespecificeerde Mnl. teksten op naam van Beda Venerabilis		TDRA000000006030
TEXT000000038808	Getijdenboek; fragm.	1490				onb	TDRA000000016009
TEXT000000003646	Adair-getijdenboek (usus Rome); Lat.	1490				latijn	TDRA000000005855
TEXT000000005551	Getijdenboek van William Lord Hastings (Hastings hours)					onb	TDRA000000006791
TEXT000000015742	Lat. misgebeden, afgesloten met Mnl. aanroeping		 f.124r-129v				TDRA000000006805
TEXT000000027096	Getijdenboek (usus Sarum); Lat.	1470/1480				latijn	TDRA000000010821
TEXT000000041313	Een gebed tot de dagheiligen		 f.267r-270r	"O heilige weerdige uutvercaren vrient gads ..."			TDRA000000015923
TEXT000000002216	Getijdenboek; onvoll.; Mnl.	1475/1500				nederlands	TDRA000000003334
TEXT000000029093	Getijdenboek; Mnl.	1450/1500				nederlands	TDRA000000011757
TEXT000000027900	Gebed met aflaat van paus Bonifatius; vijf gebeden tot de vijf wonden		 f.243v-245r	"Dese puynten sellen wi onsen lieven Heer dicwyls vermanen ende Hem bidden daghelics ..."			TDRA000000005671
TEXT000000013469	Gebed op naam van Bernardus van Clairvaux		 f.121r-131r		Ongespecificeerde Mnl. teksten op naam van Bernardus van Clairvaux		TDRA000000004493
TEXT000000042140	Kruisgetijden		 f.070r-091v				TDRA000000000466
TEXT000000039294	Gebeden tot heiligen		 f.179v-188r				TDRA000000003363
TEXT000000002202	Getijdenboek, met kalender voor het bisdom Utrecht; Mnl. en Lat.	1525/1575				latijn;nederlands	TDRA000000003305
TEXT000000041448	Zeven vreugden van Maria, berijmd		 f.211r-219v	"Gaude maria godes moder vrouden rik diner vrouden ward ne vrouden gelik ..."			TDRA000000004714
TEXT000000042141	H. Geestgetijden		 f.092r-113v				TDRA000000000466
TEXT000000013468	Gebed op naam van Bernardus van Clairvaux, misschien Mnl. vertaling van Arnulf van Leuven: Salve meum salutare		 f.029r-036v		Mnl. vertaling van Arnulf van Leuven: Salve meum salutare		TDRA000000004533
TEXT000000002203	Getijdenboek; Mnl.	1425/1475				nederlands	TDRA000000003306
TEXT000000039295	Getijdenboek; Lat.	1450/1470				onb	TDRA000000016208
TEXT000000029092	Getijdenboek; Mnl.	14??				nederlands	TDRA000000011756
TEXT000000002217	Getijdenboek, met kalender voor het bisdom Utrecht (S. Jeroen in rood); Mnl.	1475/1500				nederlands	TDRA000000003337
TEXT000000005578	Gebedenboek; Mnl.	1480				nederlands	TDRA000000006797
TEXT000000042155	Korte Kruisgetijden		 f.086r-098v				TDRA000000000475
TEXT000000027901	Gebed ter ere van Maria Boodschap		 f.245r	"Ghebendyt moetstu syn inder ewicheit ..."			TDRA000000005671
TEXT000000038821	Getijdenboek, met kalender	1510				onb	TDRA000000016022
TEXT000000040742	Gebed tot S. Maria ("Den besloten gaerden")		 f.161v-169r				TDRA000000003370
TEXT000000003647	Getijdenboek, met kalender voor het bisdom Utrecht; Mnl.	1490/1510				nederlands	TDRA000000005856
TEXT000000023597	Berijmd gebed tot de H. Catharina		 f.058r-061v	"O Onbesmette zuver joghet / Boven alre maechdeliker doghet / Bloume spegel van claren scine ..."			TDRA000000005374
