id	signatuur	aut_id	auteur
TDRA000000005363	MÜNCHEN, BSB : Cgm 83	LEXI000000021683	Lodewijk Hallincbrood
TDRA000000004733	DARMSTADT, HLHB : 978	LEXI000000003325	Geert Grote
TDRA000000005388	MÜNCHEN, BSB : Cgm 864	LEXI000000003772	Henricus Suso
TDRA000000003672	BRUSSEL, KB : 2905-09	LEXI000000003772	Henricus Suso
TDRA000000003672	BRUSSEL, KB : 2905-09	LEXI000000003704	Jan van Ruusbroec
TDRA000000003882	BRUSSEL, KB : 15087-90	LEXI000000003316	bijbelvertaler van 1360
TDRA000000005983	DE VRIES (Fribourg) : 2	LEXI000000003325	Geert Grote
TDRA000000005997	LUIK, BPAM : Section historique 6 L 31	LEXI000000003772	Henricus Suso
TDRA000000000186	GENT, UB : 1269	LEXI000000003316	bijbelvertaler van 1360
TDRA000000000192	GENT, UB : 1305	LEXI000000003772	Henricus Suso
TDRA000000000192	GENT, UB : 1305	LEXI000000004232	Johannes Tauler
TDRA000000000192	GENT, UB : 1305	LEXI000000003316	bijbelvertaler van 1360
TDRA000000009112	FULDA, LB : Aa 132	LEXI000000003325	Geert Grote
TDRA000000004634	KOPENHAGEN, KB : NKS 1031 Oct.	LEXI000000003325	Geert Grote
TDRA000000006745	'S-GRAVENHAGE, KB : 79 K 10	LEXI000000007069	Jan Moritoen (Brugge)
TDRA000000006745	'S-GRAVENHAGE, KB : 79 K 10	LEXI000000006760	Jan van Hulst
TDRA000000004973	UTRECHT, MCC : ABM 37	LEXI000000003326	Johannes Scutken
TDRA000000003952	BRUSSEL, KB : 19588	LEXI000000006325	Gilles de Wevel
TDRA000000003952	BRUSSEL, KB : 19588	LEXI000000002360	Jacob van Maerlant
TDRA000000007513	PROOST (Amsterdam) : 1	LEXI000000003325	Geert Grote
TDRA000000000526	TILBURG, UB : KHS 11	LEXI000000004817	Pseudo-Beda Venerabilis
TDRA000000003991	BRUSSEL, KB : 22012	LEXI000000008347	Anna Bijns
TDRA000000003991	BRUSSEL, KB : 22012	LEXI000000003492	Augustinus
TDRA000000003749	BRUSSEL, KB : 4603	LEXI000000003325	Geert Grote
TDRA000000003985	BRUSSEL, KB : 21951	LEXI000000008189	Francesco Petrarca
TDRA000000003588	'S-GRAVENHAGE, KB : 133 G 1	LEXI000000004232	Johannes Tauler
TDRA000000013764	BRUSSEL, KB : 5010	LEXI000000006721	Erasmus van Rotterdam
TDRA000000001374	LEIDEN, UB : LTK 348	LEXI000000003358	Gerlach Peters
TDRA000000001374	LEIDEN, UB : LTK 348	LEXI000000003704	Jan van Ruusbroec
TDRA000000001374	LEIDEN, UB : LTK 348	LEXI000000004817	Pseudo-Beda Venerabilis
TDRA000000002641	'S-GRAVENHAGE, KB : 135 E 18	LEXI000000003325	Geert Grote
TDRA000000007738	HEIDELBERG, UB : Trübner 141	LEXI000000003325	Geert Grote
TDRA000000001375	LEIDEN, UB : LTK 349	LEXI000000004213	Nicolaas van Straatsburg
TDRA000000005852	BOSTON, PL : q. Med. 172	LEXI000000003325	Geert Grote
TDRA000000000527	TILBURG, UB : KHS 12	LEXI000000003325	Geert Grote
TDRA000000003006	BERLIJN, SBB-PK : Germ. Oct. 8	LEXI000000003325	Geert Grote
