id	signatuur	kopiist
TDRA000000007997	MULDER (Linde) : Hs. 10	Dezelfde kopiist als die van handschrift MULDER (Linde) : Hs. 4
TDRA000000002186	SINT-PETERSBURG, BAN : O 254	Kopiist van LEIDEN, UB : LTK 299
TDRA000000001506	LEIDEN, UB : LTK 2055	Margaretha van Mekeren
TDRA000000009370	'S-GRAVENHAGE, KB : 71 E 57	Jan Michiels
TDRA000000016250	MULDER (Linden) : Hs. 1	een onbekende vrouw
TDRA000000008481	LEEUWARDEN, PBF : Bruikleen Ottema-Kingma Stichting z.s	Petrus van Thabor
TDRA000000002609	'S-GRAVENHAGE, KB : 135 C 8	Margriet Goessens
TDRA000000010225	LIVERPOOL, UL : 12050	P. van Os
TDRA000000014042	BERLIJN, SBB-PK : Lat. Oct. 271	Petrus Blomevenna
TDRA000000006650	BRUSSEL, KB : 11035-37	Jean Miélot
TDRA000000005417	STRAATSBURG, BNU : 73	Egbertus de Almelo
TDRA000000008053	WENEN, ONB : 1897	Johannes de Bomalia
TDRA000000002595	'S-GRAVENHAGE, KB : 133 M 131	Johannes de Malborch
TDRA000000008282	USHAW, SCC : 10	Johannes Heineman
TDRA000000005229	'S-GRAVENHAGE, KB : 131 H 23	Aernt van Hokelum
TDRA000000004094	BRUSSEL, KB : II 2946	een onbekende vrouw
TDRA000000006126	MÜNSTER, UB : 779	Johannes Heys
TDRA000000015166	NEW HAVEN, YUBL : Marston 120	broeder Franciscus de Frisula
TDRA000000003512	'S-GRAVENHAGE, KB : 73 F 23	Derde kopiiste van Maaseik
TDRA000000015371	NEW YORK, PML : 491	broeder Gratianus
TDRA000000015577	DUBLIN, CBL : W. 77	Johannes de Ecclesia
TDRA000000007617	BRUGGE, GS : 383	Olivier de Langhe
TDRA000000003698	BRUSSEL, KB : 3067-73	Kopiist van BRUSSEL, KB : 3067-73 / f.143r-154v
TDRA000000005564	HAMBURG, SUB : Theol. 1576	Alijt Lambertsdr
TDRA000000003288	'S-GRAVENHAGE, KB : 133 E 20	Kopiist van 'S-GRAVENHAGE, KB : 133 E 20
TDRA000000014722	DARMSTADT, HLHB : 1835	Mattheis van Brenich
TDRA000000003672	BRUSSEL, KB : 2905-09	Kopiist van BRUSSEL, KB : 2905-09 / f.118v-128v
TDRA000000003672	BRUSSEL, KB : 2905-09	Librarius van Rooklooster
TDRA000000008041	ANTWERPEN, SA : K 1047	Adriaenken van Gheele
TDRA000000006078	BLOOMINGTON, IU : Ricketts 133	Kopiist van DRESDEN, SL : M 220
TDRA000000000435	'S-GRAVENHAGE, MM : 10 F 41	een onbekende man
TDRA000000012227	Olim VAN VOORST (Amsterdam) : Cat. 1860, nr. 193	Barthelmeus Pieterszn van Amstelredam
TDRA000000000186	GENT, UB : 1269	Allardus Reyneri de Akersloet
TDRA000000014802	LEIDEN, UB : BPL 2379	Cunradus Fagel
TDRA000000005933	GRONINGEN, UB : Add. 274	Stine Dutmers
TDRA000000007671	AMSTERDAM, UB : XI H 14	Suster Jenneken
TDRA000000012532	ASCHAFFENBURG, HB : 9	Albrecht van Brandenburg
TDRA000000011749	DARMSTADT, HLHB : 960	Heinricus Haex
TDRA000000004634	KOPENHAGEN, KB : NKS 1031 Oct.	Kopiist van LEIDEN, UB : LTK 285
TDRA000000004797	DARMSTADT, HLHB : 192	Ursula Heeck
TDRA000000000526	TILBURG, UB : KHS 11	zuster Bele van Groesbeck
TDRA000000003991	BRUSSEL, KB : 22012	Catharina vanden Brugge
TDRA000000003991	BRUSSEL, KB : 22012	Lysbeth Lenaerts
TDRA000000001349	LEIDEN, UB : LTK 320	Kopiiste van MAASTRICHT, GA : 462
TDRA000000001349	LEIDEN, UB : LTK 320	Kopiiste van de kalender in MAASTRICHT, GA : 462
TDRA000000000902	LEIDEN, UB : LTK 271	een onbekende vrouw
TDRA000000000484	UTRECHT, MCC : BMH 64	Kopiist van UTRECHT, RCC : BMH 64
TDRA000000007880	GENT, UB : 901	Anthonius Ghyselers
TDRA000000002046	DRESDEN, SL : M 291	Ghese ten Broeke
TDRA000000003370	'S-GRAVENHAGE, KB : 131 H 4	Kopiist van LEIDEN, UB : LTK 322
TDRA000000002708	'S-GRAVENHAGE, KB : 72 J 8	een onbekende vrouw
TDRA000000006975	POMMERSFELDEN, GSS : 344	Wendelmodis Roltemans
TDRA000000004810	DARMSTADT, HLHB : 2692	Catherina de Cruchten
TDRA000000006020	WÜRZBURG, UB : M.ch.q. 144	Gherit Claeszn
TDRA000000004970	Olim UTRECHT, ABM : 33 (verloren)	een onbekende man
TDRA000000003986	BRUSSEL, KB : 21953	Anna Swilden
TDRA000000008390	Olim SCHARPÉ (Leuven) : z.s	Marie de Gueldre
TDRA000000009918	STONYHURST, GC : 70	Johannes Heineman
TDRA000000002118	GRONINGEN, UB : 405	Kopiist van BRUSSEL, KB : 17904-06
TDRA000000000530	TILBURG, UB : KHS 14	Kopiist van BRUSSEL, KB : IV 220
TDRA000000008150	KRAKOW, MN : Czart. 2947	Dirk Roeper
TDRA000000000336	NIJMEGEN, UB : 205	vrouw
TDRA000000001772	BRUSSEL, KB : IV 414	Guilliame van Sconehove
